G,Name,U+,Style,Tags
,layers,e26d,,
,layers-2,e26a,,
,layers-4,e26c,,
,layers-4-2,e26b,,
,leaf-arrowpath-2,e26e,,
,lessthan,e273,,
,lessthan-2,e26f,,
,lessthan-3,e270,,
,lessthan-4,e271,,
,lessthan-5,e272,,
,lightbulb,e277,,
,lightbulb-4,e274,,
,lightbulb-slash,e276,,
,lightbulb-slash-4,e275,,
,light-max,e278,,
,light-min,e279,,
,line-horizontal-3,e27c,,
,line-horizontal-3-decrease,e27b,,
,line-horizontal-3-decrease-2,e27a,,
,line-horizontal-decrease-2-4,e27d,,
,link,e280,,
,link-2,e27e,,
,link-4,e27f,,
,list-bullet,e283,,
,list-bullet-below-rectangle,e281,,
,list-bullet-indent,e282,,
,list-dash,e284,,
,list-number,e286,,
,list-number-rtl,e285,,
,location,e28f,,
,location-2,e287,,
,location-4,e288,,
,location-north,e28c,,
,location-north-4,e289,,
,location-north-line,e28b,,
,location-north-line-4,e28a,,
,location-slash,e28e,,
,location-slash-4,e28d,,
,lock,e29a,,
,lock-2,e290,,
,lock-4,e291,,
,lock-open,e293,,
,lock-open-4,e292,,
,lock-rotation,e295,,
,lock-rotation-open,e294,,
,lock-shield,e297,,
,lock-shield-4,e296,,
,lock-slash,e299,,
,lock-slash-4,e298,,
,logo-android,e29b,,
,logo-android-text,e29c,,
,logo-apple,e29d,,
,logo-facebook,e29e,,
,logo-github,e29f,,
,logo-google,e2a1,,
,logo-googleplus,e2a0,,
,logo-google-text,e2a2,,
,logo-instagram,e2a3,,
,logo-ios,e2a4,,
,logo-linkedin,e2a5,,
,logo-macos,e2a6,,
,logo-microsoft,e2a7,,
,logo-rss,e2a8,,
,logo-stackoverflow,e2a9,,
,logo-twitter,e2aa,,
,logo-windows,e2ab,,
,macwindow,e2ac,,
,map,e2b1,,
,map-4,e2ad,,
,map-pin,e2b0,,
,map-pin-ellipse,e2ae,,
,map-pin-slash,e2af,,
,memories,e2b4,,
,memories-badge-minus,e2b2,,
,memories-badge-plus,e2b3,,
,menu,e2b5,,
,metronome,e2b6,,
,mic,e2bb,,
,mic-2,e2b7,,
,mic-4,e2b8,,
,mic-slash,e2ba,,
,mic-slash-4,e2b9,,
,minus,e2c3,,
,minus-2,e2bc,,
,minus-3,e2bd,,
,minus-4,e2be,,
,minus-5,e2bf,,
,minus-rectangle,e2c1,,
,minus-rectangle-4,e2c0,,
,minus-slash-plus,e2c2,,
,money-dollar,e2c6,,
,money-dollar-2,e2c4,,
,money-dollar-4,e2c5,,
,money-euro,e2c9,,
,money-euro-2,e2c7,,
,money-euro-4,e2c8,,
,money-pound,e2cc,,
,money-pound-2,e2ca,,
,money-pound-4,e2cb,,
,money-rubl,e2cf,,
,money-rubl-2,e2cd,,
,money-rubl-4,e2ce,,
,money-yen,e2d2,,
,money-yen-2,e2d0,,
,money-yen-4,e2d1,,
,moon,e2d7,,
